Foreign highly skilled personnel ,Total expenditure on R&D (%) ,Scientific research legislation ,Mobile broadband subscribers ,EParticipation ,Use of big data and analytics ,Total public exp. on education per student ,Health infrastructure ,Skilled labor ,Gross Domestic Product (GDP) ,GDP (PPP) per capita ,Exports of goods  growth ,Government budget surplus/deficit (%) ,Tax evasion ,Digital/Technological skills
-1.3961454799896569,-0.4417910447761194,-0.8654483782331698,0.4346923647146032,-0.7302904564315355,-0.4645819636587441,-1.3732013771128777,-0.2791519434628975,0.0187423656351791,0.5833336507005563,-0.2473692148653683,0.1884759868036534,2.2927209030751263,-1.3096625347045716,-0.6061683801055848
0.3908367685310535,-0.0855721393034827,0.8389576451912584,-0.5375240919199408,-0.141078838174274,0.802522066331883,-0.4306744554714832,0.6402826855123676,0.3379606066775245,0.4843912452347312,-0.200549715943396,-0.1463960232676852,-0.1284546516154145,0.6389355961365496,0.3528480133370389
0.3908367685310535,0.7223880597014923,0.8389576451912584,-0.3526167531504819,-0.273858921161826,0.802522066331883,-0.4536494832670373,0.6402826855123676,0.2141821050488598,0.6504377763475094,-0.1535212648225834,0.0063526129052059,-0.6889840404826781,0.6389355961365496,0.3528480133370389
0.8807775969334202,0.1253731343283582,0.9861969089949396,-0.5375240919199408,-0.141078838174274,1.1455398732672162,-0.4306744554714832,0.7759717314487632,0.6832374796416935,0.6921398294595491,-0.192188668326919,-0.7666226283872826,-0.685091475282211,0.8118327923982324,0.6823562100583499
0.6227894312529467,0.5034825870646764,0.9337708074890828,-0.3526167531504819,-0.273858921161826,1.1586607729860543,-0.4536494832670373,0.5180212014134277,0.4291658184039087,0.554961020957662,-0.1575807384193126,-0.1942348818493051,-0.977033865317244,0.709029054080475,0.4249791608780219
0.5790024490044261,-0.0855721393034825,0.9382326033619216,-0.2512083024462565,0.6307053941908715,1.4060834533984257,-0.911050281348612,0.5759717314487632,1.4389378053745925,0.6740118136775117,0.0267938279900764,-1.102333916679351,-0.7862981704943558,0.1623000821178581,0.5003889969435962
0.6358071827322368,0.5432835820895521,0.950502542012229,-0.2093402520385471,0.215767634854772,1.134293387793927,0.0184772376308795,0.5653710247349822,1.367276567589576,0.6187899168624822,0.1053551192933557,0.035727350630762,-0.4203970416504476,0.5361318578187927,0.2135037510419563
0.9245645791819418,-0.0855721393034825,0.8958455425699535,-0.1627279466271314,0.639004149377593,1.128670145057282,-0.4142859284661987,0.823321554770318,1.2891006718241045,0.5255220373452361,0.1545932547152166,-1.066244953187954,-0.8291163876994941,0.7651038204356153,-0.1635454292859126
0.716280555513302,0.7223880597014923,0.9549643378850676,0.561838398813936,0.539419087136929,1.2017723006336638,-0.576744531042249,0.7738515901060069,1.3737912255700324,0.7250063790811839,0.2239346042362483,-0.9118177605736024,-0.7590502140910861,0.63893559613655,1.008585718255071
0.9174639874659652,-0.0139303482587065,0.991774153835988,1.032942920681987,0.622406639004149,1.3029906698932716,-0.8786385741531734,0.7667844522968198,1.119719564332247,1.1733700971524543,0.2889459669739507,-0.4401434005232455,-0.7318022576878164,1.036131857818793,1.254487357599334
1.1423160584718823,0.3661691542288556,0.6738711978962221,0.50407709414381,1.3443983402489634,0.2383233784218556,1.8452862764531228,0.3498233215547703,-0.6001501425081434,0.5412279064807657,0.5088796989383569,-0.0391362666583692,-0.4421954067730635,0.63893559613655,-0.5160044456793551
0.2571089578801664,0.5930348258706467,0.7697998091622564,-0.4293550778354336,-0.2572614107883815,0.7687826099120146,0.1087439408059251,0.5809187279151944,0.539915004071661,-0.0522132555402795,-0.1348759806546963,1.2669485004419243,0.9186453873102371,0.5978141008094467,0.2036676854681854
0.8642095495961423,0.6527363184079602,0.8523430328097749,-0.1570348406226836,0.1493775933609959,1.233637342807985,0.1263760673374425,0.5809187279151944,1.1913808021172636,-0.0397978497735901,-0.0991137822265851,-1.0595307274221126,0.4398598676527832,0.678187932585148,0.6594053903862184
0.7730852892411133,0.7223880597014923,0.9739269703446322,-0.1570348406226836,-0.3983402489626557,1.351725440277526,0.1263760673374425,0.8431095406360424,0.7614133754071659,-0.1016844582731922,-0.1050248209167186,-0.905103534807761,-0.3503308680420398,0.8959449419309425,0.6069463739927757
0.8843278927914084,0.8119402985074625,0.9973513986770358,-0.2158042994810972,-0.1742738589211619,1.5260459651135148,0.1263760673374422,0.6346289752650174,0.6767228216612377,-0.0869840085003636,-0.0669653321665157,-0.5265890572584533,-0.1362397820163488,0.4239823251085126,0.6069463739927757
0.6500083661641896,0.9313432835820892,1.005159541454505,0.1786212008895476,-0.6473029045643155,1.4960553371847416,0.1263760673374425,1.2402826855123676,1.3803058835504884,-0.0970762861941448,0.095232480334816,-0.8715324059785541,-0.1673803036200857,0.4940757830524376,-0.4832175604334534
